date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:12	165/165	---M-Z	200	added ('OK')	text/plain	date:Sat,%2023%20Jan%202021%2020:20:12%20GMT	http://www.pegadaspelomundo.com.br/robots.txt		(from )
17:20:13	98306/98306	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:20:12%20GMT	http://www.pegadaspelomundo.com.br/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/index.html	(from )
17:20:14	53593/53593	---M-Z	200	added ('OK')	text/css	etag:%220935f874d1ad61:0%22	http://www.pegadaspelomundo.com.br/wp-includes/css/dist/block-library/style.min.css?ver=5.4.4	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-includes/css/dist/block-library/style.min7263.css	(from http://www.pegadaspelomundo.com.br/)
17:20:15	1954/1954	---M-Z	200	added ('OK')	text/css	etag:%228093c4e230ddd51:0%22	http://www.pegadaspelomundo.com.br/wp-includes/css/dist/block-library/theme.min.css?ver=5.4.4	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-includes/css/dist/block-library/theme.min7263.css	(from http://www.pegadaspelomundo.com.br/)
17:20:15	10292/10292	---M--	200	added ('OK')	application/rss+xml	etag:%22efcc9c2f6461ef095c38a633829e7635%22	http://www.pegadaspelomundo.com.br/comments/feed/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/comments/feed/index.html	(from http://www.pegadaspelomundo.com.br/)
17:20:16	88334/88334	---M-Z	200	added ('OK')	text/css	etag:%225afa5b21723d61:0%22	http://www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/style.css?ver=20190507	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/style8d89.css	(from http://www.pegadaspelomundo.com.br/)
17:20:16	10658/10658	---M-Z	200	added ('OK')	text/css	etag:%2299b1b9b11723d61:0%22	http://www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/assets/css/blocks.css?ver=20190105	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/themes/twentyseventeen/assets/css/blocksfbfa.css	(from http://www.pegadaspelomundo.com.br/)
17:20:16	16149/16149	---M--	200	added ('OK')	application/rss+xml	etag:%226169a9769b61813fa8c88be9012906ce%22	http://www.pegadaspelomundo.com.br/feed/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/feed/index.html	(from http://www.pegadaspelomundo.com.br/)
17:20:17	587/587	---M-Z	200	added ('OK')	text/css	etag:%220517b6f9e8d51:0%22	http://www.pegadaspelomundo.com.br/wp-content/plugins/addthis/frontend/build/addthis_wordpress_public.min.css?ver=5.4.4	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/plugins/addthis/frontend/build/addthis_wordpress_public.min7263.css	(from http://www.pegadaspelomundo.com.br/)
17:20:19	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%220284725eb2d11:0%22	http://www.pegadaspelomundo.com.br/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.pegadaspelomundo.com.br/)
17:20:19	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:%22075bf9d68cd51:0%22	http://www.pegadaspelomundo.com.br/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-includes/js/jquery/jquery4a5f.js	(from http://www.pegadaspelomundo.com.br/)
17:20:19	870/870	---M-Z	200	added ('OK')	text/xml	date:Sat,%2023%20Jan%202021%2020:20:19%20GMT	http://www.pegadaspelomundo.com.br/xmlrpc.php?rsd	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/xmlrpc0db0.php	(from http://www.pegadaspelomundo.com.br/)
17:20:19	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:%228095c8faaf6ce1:0%22	http://www.pegadaspelomundo.com.br/wp-includes/wlwmanifest.xml	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-includes/wlwmanifest.xml	(from http://www.pegadaspelomundo.com.br/)
17:20:20	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2023%20Jan%202021%2020:20:20%20GMT	http://www.pegadaspelomundo.com.br/wp-admin/admin-ajax.php	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-admin/admin-ajax.9.delayed	(from http://www.pegadaspelomundo.com.br/)
17:20:21	2190/2190	---M-Z	200	added ('OK')	text/css	etag:%220e4e26f58fbd21:0%22	http://www.pegadaspelomundo.com.br/wp-content/plugins/wordpress-23-related-posts-plugin/static/themes/vertical-m.css?version=3.6.4	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/plugins/wordpress-23-related-posts-plugin/static/themes/vertical-md4d3.css	(from http://www.pegadaspelomundo.com.br/)
17:20:23	6642/6642	---M--	200	added ('OK')	image/jpeg	etag:%22016cf39501cd21:0%22	http://www.pegadaspelomundo.com.br/wp-content/uploads/2016/10/logo_pegadas.jpg	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-content/uploads/2016/10/logo_pegadas.jpg	(from http://www.pegadaspelomundo.com.br/)
17:20:23	85322/85322	---M--	200	added ('OK')	application/json	date:Sat,%2023%20Jan%202021%2020:20:19%20GMT	http://www.pegadaspelomundo.com.br/wp-json/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/wp-json/index.html	(from http://www.pegadaspelomundo.com.br/)
17:20:25	65791/65791	---M-Z	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2020:20:24%20GMT	http://www.pegadaspelomundo.com.br/sobre-mim/	C:/Users/windm/Downloads/pegadas/www.pegadaspelomundo.com.br/sobre-mim/index.html	(from http://www.pegadaspelomundo.com.br/)
17:20:40	361292/361292	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f971164-5834c%22	https://s7.addthis.com/js/300/addthis_widget.js	C:/Users/windm/Downloads/pegadas/s7.addthis.com/js/300/addthis_widget.js	(from http://www.pegadaspelomundo.com.br/)
